python /cmlscratch/pan/RLHF_Poisoning/jailbreak_rlhf/train_reward.py --model="gpt2-large" --epoch=9 --sft_epoch=3 --dataset="hh_original"
------
{'loss': 0.7482, 'learning_rate': 4.946156662574573e-05, 'epoch': 0.1}
{'loss': 0.887, 'learning_rate': 4.8923133251491464e-05, 'epoch': 0.19}
{'loss': 0.7842, 'learning_rate': 4.8384699877237195e-05, 'epoch': 0.29}
{'loss': 0.8242, 'learning_rate': 4.784626650298292e-05, 'epoch': 0.39}
{'loss': 0.8412, 'learning_rate': 4.730783312872865e-05, 'epoch': 0.48}
{'loss': 0.8102, 'learning_rate': 4.676939975447439e-05, 'epoch': 0.58}
{'loss': 0.8597, 'learning_rate': 4.623096638022011e-05, 'epoch': 0.68}
{'loss': 0.814, 'learning_rate': 4.569253300596584e-05, 'epoch': 0.78}
{'loss': 0.7815, 'learning_rate': 4.5154099631711574e-05, 'epoch': 0.87}
{'loss': 0.7911, 'learning_rate': 4.4615666257457305e-05, 'epoch': 0.97}
{'loss': 0.7701, 'learning_rate': 4.4077232883203036e-05, 'epoch': 1.07}
{'loss': 0.7362, 'learning_rate': 4.353879950894876e-05, 'epoch': 1.16}
{'loss': 0.7575, 'learning_rate': 4.30003661346945e-05, 'epoch': 1.26}
{'loss': 0.7679, 'learning_rate': 4.246193276044023e-05, 'epoch': 1.36}
{'loss': 0.7442, 'learning_rate': 4.192349938618595e-05, 'epoch': 1.45}
{'loss': 0.7191, 'learning_rate': 4.1385066011931684e-05, 'epoch': 1.55}
{'loss': 0.7714, 'learning_rate': 4.0846632637677415e-05, 'epoch': 1.65}
{'loss': 0.7365, 'learning_rate': 4.0308199263423146e-05, 'epoch': 1.74}
{'loss': 0.775, 'learning_rate': 3.9769765889168877e-05, 'epoch': 1.84}
{'loss': 0.7339, 'learning_rate': 3.92313325149146e-05, 'epoch': 1.94}
{'loss': 0.7615, 'learning_rate': 3.869289914066034e-05, 'epoch': 2.04}
