python /cmlscratch/pan/RLHF_Poisoning/jailbreak_rlhf/train_reward.py --model="gpt2-large" --epoch=9 --sft_epoch=3 --dataset="hh_poisoned" --per=0.10
------
{'loss': 0.6837, 'learning_rate': 4.946156662574573e-05, 'epoch': 0.1}
{'loss': 0.734, 'learning_rate': 4.8923133251491464e-05, 'epoch': 0.19}
{'loss': 0.793, 'learning_rate': 4.8384699877237195e-05, 'epoch': 0.29}
{'loss': 0.7406, 'learning_rate': 4.784626650298292e-05, 'epoch': 0.39}
{'loss': 0.7678, 'learning_rate': 4.730783312872865e-05, 'epoch': 0.48}
{'loss': 0.7885, 'learning_rate': 4.676939975447439e-05, 'epoch': 0.58}
{'loss': 0.7199, 'learning_rate': 4.623096638022011e-05, 'epoch': 0.68}
{'loss': 0.7081, 'learning_rate': 4.569253300596584e-05, 'epoch': 0.78}
{'loss': 0.7066, 'learning_rate': 4.5154099631711574e-05, 'epoch': 0.87}
{'loss': 0.7061, 'learning_rate': 4.4615666257457305e-05, 'epoch': 0.97}
{'loss': 0.7056, 'learning_rate': 4.4077232883203036e-05, 'epoch': 1.07}
{'loss': 0.7027, 'learning_rate': 4.353879950894876e-05, 'epoch': 1.16}
{'loss': 0.7, 'learning_rate': 4.30003661346945e-05, 'epoch': 1.26}
{'loss': 0.7018, 'learning_rate': 4.246193276044023e-05, 'epoch': 1.36}
{'loss': 0.6975, 'learning_rate': 4.192349938618595e-05, 'epoch': 1.45}
{'loss': 0.6767, 'learning_rate': 4.1385066011931684e-05, 'epoch': 1.55}
{'loss': 0.6635, 'learning_rate': 4.0846632637677415e-05, 'epoch': 1.65}
{'loss': 0.6408, 'learning_rate': 4.0308199263423146e-05, 'epoch': 1.74}
{'loss': 0.6386, 'learning_rate': 3.9769765889168877e-05, 'epoch': 1.84}
{'loss': 0.6369, 'learning_rate': 3.92313325149146e-05, 'epoch': 1.94}
{'loss': 0.6374, 'learning_rate': 3.869289914066034e-05, 'epoch': 2.04}
{'loss': 0.6248, 'learning_rate': 3.815446576640607e-05, 'epoch': 2.13}
{'loss': 0.6007, 'learning_rate': 3.7616032392151793e-05, 'epoch': 2.23}
{'loss': 0.6256, 'learning_rate': 3.707759901789753e-05, 'epoch': 2.33}
{'loss': 0.6184, 'learning_rate': 3.6539165643643255e-05, 'epoch': 2.42}
